NUTS,Nazwa,Mapa,,Wykres
Wartość dodana brutto na 1 pracującego,,Dochody budżetów gmin łącznie z miastami na prawach powiatu
2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem,ogółem
zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł
012414900000,Podregion rybnicki,103054,113851,115752,112636,115502,121903,121387,132540,141093,146181,146760,162587,,"2019708758,98","2107865243,59","2161503050,26","2183614983,57","2254547497,43","2335912398,89","2683887918,80","2784055943,28","3116765886,05","3443281234,21","3835604197,26","4114775859,46","4041321558,45"
012415000000,Podregion sosnowiecki,100188,107615,111847,112135,120559,126194,128947,130887,139635,143132,147234,181478,,"2192907303,58","2329957107,34","2403367668,10","2628843195,10","2868832482,05","2774123812,77","3003578951,48","3171627181,58","3451299144,68","3797576855,01","4302488373,09","4742413842,19","4642245352,30"
012415100000,Podregion tyski,116477,125561,126665,121890,122976,128112,129993,138727,143249,146731,144726,167815,,"1404340415,75","1430968553,47","1436877616,14","1487361167,45","1572007779,96","1566480722,98","1842835739,68","1968858084,25","2156679805,73","2404972067,47","2610819349,85","2787435307,29","2787367338,89"
020000000000,Makroregion północno-zachodni,89007,94751,99811,103095,106751,111883,111905,115711,120840,128652,137061,148366,,"18710099843,28","19825114561,32","21200473274,65","21838693684,62","22877025364,87","24331737400,87","27567869022,29","29892791412,37","32024265957,93","35631429567,43","39373567177,44","43074249277,16","44811678042,30"
020800000000,LUBUSKIE,87318,91927,97318,100836,105305,108388,109358,112103,116910,122948,131716,144717,,"3071201747,62","3141354836,52","3244700227,67","3440228865,90","3626671031,47","3755916617,62","4279639368,99","4753363585,74","5138684275,45","5742835407,36","6151935542,15","6715649606,88","7094855772,87"
020810000000,region lubuskie,87318,91927,97318,100836,105305,108388,109358,112103,116910,122948,131716,144717,,"3071201747,62","3141354836,52","3244700227,67","3440228865,90","3626671031,47","3755916617,62","4279639368,99","4753363585,74","5138684275,45","5742835407,36","6151935542,15","6715649606,88","7094855772,87"
020811300000,Podregion gorzowski,85126,87485,93596,94738,99398,103007,104124,106557,111269,117278,127162,137110,,"1165636052,95","1211961814,15","1237377533,21","1318016680,85","1390757631,16","1463386013,56","1700524449,96","1832295412,72","2008498353,70","2220786825,49","2468986138,69","2654147271,34","2789910910,89"
020811400000,Podregion zielonogórski,88770,94843,99783,104870,109220,111940,112783,115702,120554,126635,134670,149597,,"1905565694,67","1929393022,37","2007322694,46","2122212185,05","2235913400,31","2292530604,06","2579114919,03","2921068173,02","3130185921,75","3522048581,87","3682949403,46","4061502335,54","4304944861,98"
023000000000,WIELKOPOLSKIE,88043,94330,99047,102568,105617,111026,111271,115536,120669,129182,137946,148316,,"10347944195,83","10987452588,22","11713609242,23","11905159655,97","12454294418,22","13383037241,78","15288344090,07","16741398360,58","17942545134,16","20148803796,06","22103138502,25","24156045662,00","25214289794,16"
023010000000,region wielkopolskie,88043,94330,99047,102568,105617,111026,111271,115536,120669,129182,137946,148316,,"10347944195,83","10987452588,22","11713609242,23","11905159655,97","12454294418,22","13383037241,78","15288344090,07","16741398360,58","17942545134,16","20148803796,06","22103138502,25","24156045662,00","25214289794,16"
023015700000,Podregion kaliski,72615,79316,84082,85804,90524,98225,97276,100915,105172,110835,120793,127663,,"1783847415,55","1887600983,67","2027845233,47","2109241895,80","2156488171,52","2243971918,49","2708175291,72","2958218376,73","3163637458,62","3601027227,48","3984591978,72","4343050928,10","4570872606,84"
023015800000,Podregion koniński,75145,82413,86600,87797,90617,94364,95498,100816,105124,114360,124879,132802,,"1861432442,71","2020308410,37","2119202185,71","2127412113,26","2243118522,43","2368087973,08","2737518910,94","2987135002,04","3216533699,64","3551335057,62","3931717328,76","4170081001,76","4509062163,06"
023015900000,Podregion leszczyński,75207,81382,85936,89672,94014,97956,98111,102174,106160,112277,122001,131111,,"1502607797,23","1650478008,21","1722479143,08","1764118376,46","1812778452,99","1858338341,45","2256910918,89","2515929808,46","2677416652,65","2989494405,18","3338300861,73","3545089927,49","3666079658,35"
023016000000,Podregion pilski,79215,84283,88349,91562,93794,98632,97070,99405,103977,107645,116589,123474,,"1111073401,20","1199761703,79","1238665604,02","1277528698,49","1335206171,61","1361017078,15","1621895668,09","1753737507,64","1887381250,15","2060822977,56","2241784331,21","2428453211,77","2609383337,25"
023016100000,Podregion poznański,98190,106123,110823,113923,117982,124029,126383,129256,134020,142234,147861,157679,,"1646495861,71","1757683511,46","1851495967,89","1962219301,15","2074769726,10","2229962609,47","2710932458,25","3016351633,10","3298816370,98","3784811794,64","4247849782,27","4680817535,19","4730681276,45"
023016200000,Podregion Poznań,114070,118188,123032,130095,130692,136067,135508,141362,149638,163973,170533,187640,,"2442487277,43","2471619970,72","2753921108,06","2664639270,81","2831933373,57","3321659321,14","3252910842,18","3510026032,61","3698759702,12","4161312333,58","4358894219,56","4988553057,69","5128210752,21"
023200000000,ZACHODNIOPOMORSKIE,92533,97607,103379,105900,110704,116400,115231,118426,123728,130736,137912,150710,,"5290953899,83","5696307136,58","6242163804,75","6493305162,75","6796059915,18","7192783541,47","7999885563,23","8398029466,05","8943036548,32","9739790364,01","11118493133,04","12202554008,28","12502532475,27"
023210000000,region zachodniopomorskie,92533,97607,103379,105900,110704,116400,115231,118426,123728,130736,137912,150710,,"5290953899,83","5696307136,58","6242163804,75","6493305162,75","6796059915,18","7192783541,47","7999885563,23","8398029466,05","8943036548,32","9739790364,01","11118493133,04","12202554008,28","12502532475,27"
023216300000,Podregion koszaliński,87855,91879,98651,102603,106225,111320,108943,113608,119523,127430,134966,147636,,"1177314346,68","1321250100,46","1348827105,36","1404622191,29","1506508248,58","1531711278,69","1695572678,13","1842042549,46","1979334176,30","2155346676,99","2324942279,60","2570530997,49","2752821802,19"
